People counts per frame:
Frame 0: 20 people
Frame 1: 23 people
Frame 2: 19 people
Frame 3: 15 people
Frame 4: 12 people
Frame 5: 17 people
Frame 6: 21 people
Frame 7: 17 people
Frame 8: 23 people
Frame 9: 21 people
Frame 10: 20 people
Frame 11: 19 people
Frame 12: 30 people
Frame 13: 22 people
Frame 14: 25 people
Frame 15: 21 people
Frame 16: 19 people
Frame 17: 14 people
Frame 18: 18 people
Frame 19: 17 people
Frame 20: 17 people
Frame 21: 16 people
Frame 22: 22 people
Frame 23: 14 people
Frame 24: 14 people
